款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,"本年度與
上年度比較",說明
3,26,,,0503950000,公共工程委員會,"94,098 ","74,878 ","95,280 ","19,220 ",
3,26,1,,0503950100,行政規費收入,"3,280 ","2,360 ","2,223 ",920 ,
3,26,1,1,0503950101,審查費,80 ,40 ,136 ,40 ,"本年度預算數係工程技術顧問公
司許可審查費收入。
"
3,26,1,2,0503950102,證照費,"3,200 ","2,320 ","2,087 ",880 ,"本年度預算數係發給技師證書、
執業執照及工程技術顧問公司登
記證等收入。
"
3,26,2,,0503950300,使用規費收入,"90,818 ","72,518 ","93,057 ","18,300 ",
3,26,2,1,0503950305,資料使用費,"2,800 ","1,500 ","3,255 ","1,300 ","本年度預算數係出售各項出版品
等收入。
"
3,26,2,2,0503950312,場地設施使用費,18 ,18 ,17 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,26,2,3,0503950313,服務費,"88,000 ","71,000 ","89,785 ","17,000 ","本年度預算數係處理採購爭議及
促進民間參與公共建設申請及審
核爭議案件等服務收入，其中34
,160千元撥充作為辦理採購申訴
審議業務之用。
"
3,27,,,0503970000,原住民族委員會,"1,900 ","1,830 ","1,914 ",70 ,
3,27,1,,0503970100,行政規費收入,200 ,200 ,-,-,
3,27,1,1,0503970104,考試報名費,200 ,200 ,-,-,"本年度預算數係原住民學生取得
文化及語言能力證明考試報名費
收入。
"
3,27,2,,0503970300,使用規費收入,"1,700 ","1,630 ","1,914 ",70 ,
3,27,2,1,0503970305,資料使用費,100 ,30 ,82 ,70 ,"本年度預算數係出售各項出版品
等收入。
"
3,27,2,2,0503970312,場地設施使用費,"1,600 ","1,600 ","1,832 ",-,"本年度預算數係東埔活動中心門
票、停車費及場地出借費等收入
。
"
3,28,,,0503960000,文化園區管理局,"27,030 ","27,530 ","25,813 ",-500 ,
3,28,1,,0503960300,使用規費收入,"27,030 ","27,530 ","25,813 ",-500 ,
3,28,1,1,0503960305,資料使用費,30 ,30 ,34 ,-,"本年度預算數係出售工程圖說費
收入。
"
3,28,1,2,0503960312,場地設施使用費,"27,000 ","27,500 ","25,779 ",-500 ,"本年度預算數係園區門票、停車
場及場地出借費等收入。
"
3,29,,,0503980000,體育委員會,"1,430 ",220 ,"3,455 ","1,210 ",
3,29,1,,0503980100,行政規費收入,950 ,20 ,"2,813 ",930 ,
3,29,1,1,0503980101,審查費,900 ,-,"1,803 ",900 ,"本年度預算數係辦理專任運動教
練資格審查等收入。
"
3,29,1,2,0503980102,證照費,50 ,20 ,"1,010 ",30 ,"本年度預算數係辦理運動傷害防
護員等專業人員授證收入。
"
3,29,2,,0503980300,使用規費收入,480 ,200 ,641 ,280 ,
3,29,2,1,0503980305,資料使用費,-,-,69 ,-,"前年度決算數係出售標單等收入
。
"
3,29,2,2,0503980312,場地設施使用費,480 ,200 ,572 ,280 ,"本年度預算數係各運動團體進駐
國家運動訓練中心酌收清潔費等
收入。
"
3,30,,,0503990000,客家委員會及所屬,"2,838 ","1,517 ","1,737 ","1,321 ",
3,30,1,,0503990100,行政規費收入,"2,820 ","1,500 ","1,632 ","1,320 ",
3,30,1,1,0503990104,考試報名費,"2,820 ","1,500 ","1,632 ","1,320 ","本年度預算數係辦理客語能力認
證考試報名費收入。
"
3,30,2,,0503990300,使用規費收入,18 ,17 ,105 ,1 ,
3,30,2,1,0503990305,資料使用費,-,-,86 ,-,"前年度決算數係出售各項出版品
等收入。
"
3,30,2,2,0503990312,場地設施使用費,18 ,17 ,19 ,1 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,31,,,0504010000,立法院,250 ,250 ,235 ,-,
3,31,1,,0504010300,使用規費收入,250 ,250 ,235 ,-,
3,31,1,1,0504010305,資料使用費,250 ,250 ,235 ,-,"本年度預算數係圖書資料影印、
出售立法院公報及法律案專輯等
收入。
"
3,32,,,0505010000,司法院,"2,864 ","2,836 ","1,756 ",28 ,
3,32,1,,0505010100,行政規費收入,54 ,30 ,44 ,24 ,
3,32,1,1,0505010102,證照費,54 ,30 ,44 ,24 ,"本年度預算數係核發民間公證人
遴任證書費等收入。
"
3,32,2,,0505010300,使用規費收入,"2,810 ","2,806 ","1,712 ",4 ,
3,32,2,1,0505010305,資料使用費,"2,700 ","2,700 ","1,602 ",-,"本年度預算數係出售司法院出版
品、司法院公報及司法周刊等收
入。
"
3,32,2,2,0505010312,場地設施使用費,110 ,106 ,110 ,4 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,33,,,0505050000,最高法院,"13,925 ","13,085 ","16,038 ",840 ,
3,33,1,,0505050200,司法規費收入,"12,500 ","12,000 ","15,673 ",500 ,
3,33,1,1,0505050201,民事訴訟費,"12,500 ","12,000 ","15,673 ",500 ,"本年度預算數係民事訴訟裁判費
等收入。
"
3,33,2,,0505050300,使用規費收入,"1,425 ","1,085 ",366 ,340 ,
3,33,2,1,0505050305,資料使用費,"1,200 ",850 ,160 ,350 ,"本年度預算數係出售判例要旨及
民刑庭會議暨全文彙編等收入。
"
3,33,2,2,0505050312,場地設施使用費,225 ,235 ,206 ,-10 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,34,,,0505100000,最高行政法院,"2,825 ",108 ,94 ,"2,717 ",
3,34,1,,0505100200,司法規費收入,"2,717 ",-,-,"2,717 ",
3,34,1,1,0505100204,行政訴訟費,"2,717 ",-,-,"2,717 ","本年度預算數係行政訴訟裁判費
等收入。
"
3,34,2,,0505100300,使用規費收入,108 ,108 ,94 ,-,
3,34,2,1,0505100305,資料使用費,48 ,48 ,38 ,-,"本年度預算數係出售判例要旨彙
編等收入。
"
3,34,2,2,0505100312,場地設施使用費,60 ,60 ,56 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,35,,,0505110000,臺北高等行政法院,"16,940 ",877 ,644 ,"16,063 ",
3,35,1,,0505110200,司法規費收入,"16,548 ",600 ,252 ,"15,948 ",
3,35,1,1,0505110204,行政訴訟費,"16,548 ",600 ,252 ,"15,948 ","本年度預算數係行政訴訟裁判費
及執行費等收入。
"
3,35,2,,0505110300,使用規費收入,392 ,277 ,392 ,115 ,
3,35,2,1,0505110305,資料使用費,300 ,185 ,321 ,115 ,"本年度預算數係閱卷影印費等收
入。
"
3,35,2,2,0505110312,場地設施使用費,92 ,92 ,71 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,36,,,0505120000,臺中高等行政法院,"6,754 ",393 ,419 ,"6,361 ",
3,36,1,,0505120200,司法規費收入,"6,446 ",126 ,141 ,"6,320 ",
3,36,1,1,0505120204,行政訴訟費,"6,446 ",126 ,141 ,"6,320 ","本年度預算數係行政訴訟裁判費
及執行費等收入。
"
3,36,2,,0505120300,使用規費收入,308 ,267 ,278 ,41 ,
3,36,2,1,0505120305,資料使用費,69 ,71 ,66 ,-2 ,"本年度預算數係閱卷影印費等收
入。
"
3,36,2,2,0505120312,場地設施使用費,239 ,196 ,213 ,43 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,37,,,0505130000,高雄高等行政法院,"7,380 ",324 ,"2,091 ","7,056 ",
3,37,1,,0505130200,司法規費收入,"7,120 ",111 ,"1,857 ","7,009 ",
3,37,1,1,0505130204,行政訴訟費,"7,120 ",111 ,"1,857 ","7,009 ","本年度預算數係行政訴訟裁判費
及執行費等收入。
"
3,37,2,,0505130300,使用規費收入,260 ,213 ,234 ,47 ,
3,37,2,1,0505130305,資料使用費,116 ,97 ,116 ,19 ,"本年度預算數係閱卷影印費等收
入。
"
3,37,2,2,0505130312,場地設施使用費,144 ,116 ,118 ,28 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,38,,,0505200000,公務員懲戒委員會,6 ,6 ,7 ,-,
3,38,1,,0505200300,使用規費收入,6 ,6 ,7 ,-,
3,38,1,1,0505200312,場地設施使用費,6 ,6 ,7 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,39,,,0505250000,司法人員研習所,24 ,14 ,14 ,10 ,
3,39,1,,0505250300,使用規費收入,24 ,14 ,14 ,10 ,
3,39,1,1,0505250312,場地設施使用費,24 ,14 ,14 ,10 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,40,,,0505260000,智慧財產法院,"19,320 ",-,-,"19,320 ",
3,40,1,,0505260200,司法規費收入,"19,267 ",-,-,"19,267 ",
3,40,1,1,0505260201,民事訴訟費,"19,105 ",-,-,"19,105 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,40,1,2,0505260204,行政訴訟費,162 ,-,-,162 ,"本年度預算數係行政訴訟裁判費
及執行費等收入。
"
3,40,2,,0505260300,使用規費收入,53 ,-,-,53 ,
3,40,2,1,0505260305,資料使用費,53 ,-,-,53 ,"本年度預算數係閱卷影印費等收
入。
"
3,41,,,0505300000,臺灣高等法院,"241,112 ","219,878 ","204,282 ","21,234 ",
3,41,1,,0505300200,司法規費收入,"236,888 ","216,000 ","199,583 ","20,888 ",
3,41,1,1,0505300201,民事訴訟費,"236,888 ","216,000 ","199,583 ","20,888 ","本年度預算數係民事訴訟裁判費
及抗告費等收入。
"
3,41,2,,0505300300,使用規費收入,"4,224 ","3,878 ","4,699 ",346 ,
3,41,2,1,0505300305,資料使用費,"3,536 ","3,200 ","4,011 ",336 ,"本年度預算數係閱卷影印費等收
入。
"
3,41,2,2,0505300312,場地設施使用費,688 ,678 ,689 ,10 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,42,,,0505310000,臺灣高等法院臺中分院,"53,567 ","46,933 ","84,911 ","6,634 ",
3,42,1,,0505310200,司法規費收入,"51,406 ","44,850 ","82,750 ","6,556 ",
3,42,1,1,0505310201,民事訴訟費,"51,406 ","44,850 ","82,750 ","6,556 ","本年度預算數係民事訴訟裁判費
及抗告費等收入。
"
3,42,2,,0505310300,使用規費收入,"2,161 ","2,083 ","2,161 ",78 ,
3,42,2,1,0505310305,資料使用費,"1,593 ","1,508 ","1,593 ",85 ,"本年度預算數係閱卷影印費等收
入。
"
3,42,2,2,0505310312,場地設施使用費,568 ,575 ,568 ,-7 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,43,,,0505320000,臺灣高等法院臺南分院,"23,953 ","28,376 ","25,471 ","-4,423 ",
3,43,1,,0505320200,司法規費收入,"22,686 ","27,146 ","24,157 ","-4,460 ",
3,43,1,1,0505320201,民事訴訟費,"22,686 ","27,146 ","24,157 ","-4,460 ","本年度預算數係民事訴訟裁判費
及抗告費等收入。
"
3,43,2,,0505320300,使用規費收入,"1,267 ","1,230 ","1,315 ",37 ,
3,43,2,1,0505320305,資料使用費,859 ,846 ,908 ,13 ,"本年度預算數係閱卷影印費等收
入。
"
3,43,2,2,0505320312,場地設施使用費,408 ,384 ,407 ,24 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,44,,,0505330000,臺灣高等法院高雄分院,"26,310 ","26,310 ","34,326 ",-,
3,44,1,,0505330200,司法規費收入,"25,000 ","25,000 ","32,872 ",-,
3,44,1,1,0505330201,民事訴訟費,"25,000 ","25,000 ","32,872 ",-,"本年度預算數係民事訴訟裁判費
及抗告費等收入。
"
3,44,2,,0505330300,使用規費收入,"1,310 ","1,310 ","1,453 ",-,
3,44,2,1,0505330305,資料使用費,950 ,950 ,"1,090 ",-,"本年度預算數係閱卷影印費等收
入。
"
3,44,2,2,0505330312,場地設施使用費,360 ,360 ,363 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,45,,,0505340000,臺灣高等法院花蓮分院,"6,739 ","5,505 ","6,766 ","1,234 ",
3,45,1,,0505340200,司法規費收入,"6,492 ","5,260 ","6,492 ","1,232 ",
3,45,1,1,0505340201,民事訴訟費,"6,492 ","5,260 ","6,492 ","1,232 ","本年度預算數係民事訴訟裁判費
及抗告費等收入。
"
3,45,2,,0505340300,使用規費收入,247 ,245 ,273 ,2 ,
3,45,2,1,0505340305,資料使用費,151 ,145 ,178 ,6 ,"本年度預算數係閱卷影印費等收
入。
"
3,45,2,2,0505340312,場地設施使用費,96 ,100 ,96 ,-4 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,46,,,0505410000,臺灣臺北地方法院,"1,971,336 ","1,933,066 ","1,761,812 ","38,270 ",
3,46,1,,0505410200,司法規費收入,"1,964,908 ","1,927,163 ","1,754,787 ","37,745 ",
3,46,1,1,0505410201,民事訴訟費,"1,838,542 ","1,743,176 ","1,606,006 ","95,366 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,46,1,2,0505410202,非訟事件費,"99,530 ","153,408 ","121,945 ","-53,878 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,46,1,3,0505410203,公證費,"26,836 ","30,579 ","26,836 ","-3,743 ","本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,46,2,,0505410300,使用規費收入,"6,428 ","5,903 ","7,025 ",525 ,
3,46,2,1,0505410305,資料使用費,"5,491 ","5,025 ","6,106 ",466 ,"本年度預算數係閱卷影印費等收
入。
"
3,46,2,2,0505410312,場地設施使用費,937 ,878 ,919 ,59 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,47,,,0505420000,臺灣士林地方法院,"511,640 ","578,184 ","574,020 ","-66,544 ",
3,47,1,,0505420200,司法規費收入,"509,568 ","576,497 ","572,104 ","-66,929 ",
3,47,1,1,0505420201,民事訴訟費,"476,446 ","529,231 ","527,835 ","-52,785 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,47,1,2,0505420202,非訟事件費,"16,542 ","30,150 ","26,791 ","-13,608 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,47,1,3,0505420203,公證費,"16,580 ","17,116 ","17,478 ",-536 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,47,2,,0505420300,使用規費收入,"2,072 ","1,687 ","1,916 ",385 ,
3,47,2,1,0505420305,資料使用費,"1,508 ","1,184 ","1,390 ",324 ,"本年度預算數係閱卷影印費等收
入。
"
3,47,2,2,0505420312,場地設施使用費,564 ,503 ,525 ,61 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,48,,,0505430000,臺灣板橋地方法院,"745,809 ","742,454 ","694,062 ","3,355 ",
3,48,1,,0505430200,司法規費收入,"742,929 ","739,706 ","691,067 ","3,223 ",
3,48,1,1,0505430201,民事訴訟費,"692,406 ","694,718 ","646,772 ","-2,312 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,48,1,2,0505430202,非訟事件費,"28,611 ","21,948 ","24,153 ","6,663 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,48,1,3,0505430203,公證費,"21,912 ","23,040 ","20,142 ","-1,128 ","本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,48,2,,0505430300,使用規費收入,"2,880 ","2,748 ","2,994 ",132 ,
3,48,2,1,0505430305,資料使用費,"1,752 ","1,656 ","1,900 ",96 ,"本年度預算數係閱卷影印費等收
入。
"
3,48,2,2,0505430312,場地設施使用費,"1,128 ","1,092 ","1,095 ",36 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,49,,,0505470000,臺灣桃園地方法院,"639,005 ","575,589 ","579,701 ","63,416 ",
3,49,1,,0505470200,司法規費收入,"636,671 ","573,351 ","577,145 ","63,320 ",
3,49,1,1,0505470201,民事訴訟費,"586,832 ","527,177 ","528,149 ","59,655 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,49,1,2,0505470202,非訟事件費,"30,629 ","26,964 ","29,601 ","3,665 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,49,1,3,0505470203,公證費,"19,210 ","19,210 ","19,395 ",-,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,49,2,,0505470300,使用規費收入,"2,334 ","2,238 ","2,556 ",96 ,
3,49,2,1,0505470305,資料使用費,"1,824 ","1,699 ","2,046 ",125 ,"本年度預算數係閱卷影印費等收
入。
"
3,49,2,2,0505470312,場地設施使用費,510 ,539 ,510 ,-29 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,50,,,0505480000,臺灣新竹地方法院,"245,080 ","260,956 ","244,131 ","-15,876 ",
3,50,1,,0505480200,司法規費收入,"243,607 ","259,629 ","242,672 ","-16,022 ",
3,50,1,1,0505480201,民事訴訟費,"232,511 ","248,522 ","231,788 ","-16,011 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,50,1,2,0505480202,非訟事件費,"6,500 ","6,206 ","6,157 ",294 ,"本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,50,1,3,0505480203,公證費,"4,596 ","4,901 ","4,727 ",-305 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,50,2,,0505480300,使用規費收入,"1,473 ","1,327 ","1,458 ",146 ,
3,50,2,1,0505480305,資料使用費,"1,087 ",954 ,"1,080 ",133 ,"本年度預算數係閱卷影印費等收
入。
"
3,50,2,2,0505480312,場地設施使用費,386 ,373 ,379 ,13 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,51,,,0505490000,臺灣苗栗地方法院,"120,427 ","125,304 ","118,958 ","-4,877 ",
3,51,1,,0505490200,司法規費收入,"119,662 ","124,584 ","118,125 ","-4,922 ",
3,51,1,1,0505490201,民事訴訟費,"113,468 ","118,760 ","112,349 ","-5,292 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,51,1,2,0505490202,非訟事件費,"3,144 ","2,724 ","2,774 ",420 ,"本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,51,1,3,0505490203,公證費,"3,050 ","3,100 ","3,003 ",-50 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,51,2,,0505490300,使用規費收入,765 ,720 ,833 ,45 ,
3,51,2,1,0505490305,資料使用費,560 ,515 ,624 ,45 ,"本年度預算數係閱卷影印費等收
入。
"
3,51,2,2,0505490312,場地設施使用費,205 ,205 ,209 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,52,,,0505500000,臺灣臺中地方法院,"717,735 ","774,515 ","724,219 ","-56,780 ",
3,52,1,,0505500200,司法規費收入,"714,715 ","771,615 ","721,116 ","-56,900 ",
3,52,1,1,0505500201,民事訴訟費,"638,675 ","696,257 ","648,432 ","-57,582 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,52,1,2,0505500202,非訟事件費,"56,040 ","55,012 ","51,543 ","1,028 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,52,1,3,0505500203,公證費,"20,000 ","20,346 ","21,141 ",-346 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,52,2,,0505500300,使用規費收入,"3,020 ","2,900 ","3,103 ",120 ,
3,52,2,1,0505500305,資料使用費,"2,000 ","1,880 ","2,062 ",120 ,"本年度預算數係閱卷影印費等收
入。
"
3,52,2,2,0505500312,場地設施使用費,"1,020 ","1,020 ","1,041 ",-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,53,,,0505510000,臺灣南投地方法院,"99,705 ","100,266 ","100,232 ",-561 ,
3,53,1,,0505510200,司法規費收入,"99,204 ","99,765 ","99,673 ",-561 ,
3,53,1,1,0505510201,民事訴訟費,"91,215 ","91,613 ","91,561 ",-398 ,"本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,53,1,2,0505510202,非訟事件費,"2,489 ","2,292 ","2,489 ",197 ,"本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,53,1,3,0505510203,公證費,"5,500 ","5,860 ","5,624 ",-360 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,53,2,,0505510300,使用規費收入,501 ,501 ,558 ,-,
3,53,2,1,0505510305,資料使用費,350 ,350 ,392 ,-,"本年度預算數係閱卷影印費等收
入。
"
3,53,2,2,0505510312,場地設施使用費,151 ,151 ,166 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,54,,,0505520000,臺灣彰化地方法院,"301,136 ","298,800 ","243,236 ","2,336 ",
3,54,1,,0505520200,司法規費收入,"299,312 ","297,220 ","241,579 ","2,092 ",
3,54,1,1,0505520201,民事訴訟費,"286,772 ","248,576 ","204,535 ","38,196 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,54,1,2,0505520202,非訟事件費,"6,540 ","42,644 ","31,220 ","-36,104 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,54,1,3,0505520203,公證費,"6,000 ","6,000 ","5,823 ",-,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,54,2,,0505520300,使用規費收入,"1,824 ","1,580 ","1,657 ",244 ,
3,54,2,1,0505520305,資料使用費,"1,224 ",980 ,"1,083 ",244 ,"本年度預算數係閱卷影印費等收
入。
"
3,54,2,2,0505520312,場地設施使用費,600 ,600 ,574 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,55,,,0505530000,臺灣雲林地方法院,"135,514 ","142,926 ","124,717 ","-7,412 ",
3,55,1,,0505530200,司法規費收入,"134,667 ","142,098 ","123,868 ","-7,431 ",
3,55,1,1,0505530201,民事訴訟費,"125,981 ","134,294 ","116,293 ","-8,313 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,55,1,2,0505530202,非訟事件費,"4,418 ","3,224 ","3,407 ","1,194 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,55,1,3,0505530203,公證費,"4,268 ","4,580 ","4,168 ",-312 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,55,2,,0505530300,使用規費收入,847 ,828 ,849 ,19 ,
3,55,2,1,0505530305,資料使用費,542 ,540 ,541 ,2 ,"本年度預算數係閱卷影印費等收
入。
"
3,55,2,2,0505530312,場地設施使用費,305 ,288 ,308 ,17 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,56,,,0505540000,臺灣嘉義地方法院,"168,865 ","156,659 ","158,610 ","12,206 ",
3,56,1,,0505540200,司法規費收入,"167,821 ","155,738 ","157,581 ","12,083 ",
3,56,1,1,0505540201,民事訴訟費,"156,681 ","145,024 ","147,414 ","11,657 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,56,1,2,0505540202,非訟事件費,"6,634 ","5,914 ","5,803 ",720 ,"本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,56,1,3,0505540203,公證費,"4,506 ","4,800 ","4,364 ",-294 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,56,2,,0505540300,使用規費收入,"1,044 ",921 ,"1,028 ",123 ,
3,56,2,1,0505540305,資料使用費,624 ,501 ,594 ,123 ,"本年度預算數係閱卷影印費等收
入。
"
3,56,2,2,0505540312,場地設施使用費,420 ,420 ,434 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,57,,,0505560000,臺灣臺南地方法院,"495,419 ","480,634 ","440,266 ","14,785 ",
3,57,1,,0505560200,司法規費收入,"492,736 ","478,294 ","437,794 ","14,442 ",
3,57,1,1,0505560201,民事訴訟費,"460,793 ","442,766 ","403,182 ","18,027 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,57,1,2,0505560202,非訟事件費,"22,343 ","23,744 ","22,444 ","-1,401 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,57,1,3,0505560203,公證費,"9,600 ","11,784 ","12,168 ","-2,184 ","本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,57,2,,0505560300,使用規費收入,"2,683 ","2,340 ","2,472 ",343 ,
3,57,2,1,0505560305,資料使用費,"1,843 ","1,500 ","1,643 ",343 ,"本年度預算數係閱卷影印費等收
入。
"
3,57,2,2,0505560312,場地設施使用費,840 ,840 ,829 ,-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,58,,,0505580000,臺灣高雄地方法院,"863,128 ","878,151 ","811,243 ","-15,023 ",
3,58,1,,0505580200,司法規費收入,"858,266 ","874,170 ","806,969 ","-15,904 ",
3,58,1,1,0505580201,民事訴訟費,"798,548 ","802,666 ","740,989 ","-4,118 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,58,1,2,0505580202,非訟事件費,"43,878 ","48,802 ","46,287 ","-4,924 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,58,1,3,0505580203,公證費,"15,840 ","22,702 ","19,693 ","-6,862 ","本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,58,2,,0505580300,使用規費收入,"4,862 ","3,981 ","4,274 ",881 ,
3,58,2,1,0505580305,資料使用費,"3,762 ","2,881 ","3,198 ",881 ,"本年度預算數係閱卷影印費等收
入。
"
3,58,2,2,0505580312,場地設施使用費,"1,100 ","1,100 ","1,077 ",-,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,59,,,0505590000,臺灣屏東地方法院,"166,640 ","187,270 ","151,521 ","-20,630 ",
3,59,1,,0505590200,司法規費收入,"165,390 ","186,146 ","150,280 ","-20,756 ",
3,59,1,1,0505590201,民事訴訟費,"155,908 ","178,150 ","143,875 ","-22,242 ","本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,59,1,2,0505590202,非訟事件費,"2,682 ",96 ,97 ,"2,586 ","本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,59,1,3,0505590203,公證費,"6,800 ","7,900 ","6,308 ","-1,100 ","本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,59,2,,0505590300,使用規費收入,"1,250 ","1,124 ","1,241 ",126 ,
3,59,2,1,0505590305,資料使用費,720 ,550 ,687 ,170 ,"本年度預算數係閱卷影印費等收
入。
"
3,59,2,2,0505590312,場地設施使用費,530 ,574 ,553 ,-44 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,60,,,0505600000,臺灣臺東地方法院,"47,644 ","47,454 ","50,186 ",190 ,
3,60,1,,0505600200,司法規費收入,"46,903 ","46,708 ","49,455 ",195 ,
3,60,1,1,0505600201,民事訴訟費,"42,121 ","42,464 ","45,303 ",-343 ,"本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,60,1,2,0505600202,非訟事件費,"2,632 ","2,052 ","2,000 ",580 ,"本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,60,1,3,0505600203,公證費,"2,150 ","2,192 ","2,152 ",-42 ,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,60,2,,0505600300,使用規費收入,741 ,746 ,731 ,-5 ,
3,60,2,1,0505600305,資料使用費,388 ,398 ,386 ,-10 ,"本年度預算數係閱卷影印費等收
入。
"
3,60,2,2,0505600312,場地設施使用費,353 ,348 ,345 ,5 ,"本年度預算數係借用宿舍員工自
薪資扣回繳庫數。
"
3,61,,,0505610000,臺灣花蓮地方法院,"78,793 ","77,801 ","75,626 ",992 ,
3,61,1,,0505610200,司法規費收入,"77,859 ","76,991 ","74,791 ",868 ,
3,61,1,1,0505610201,民事訴訟費,"74,914 ","74,161 ","71,845 ",753 ,"本年度預算數係民事訴訟裁判費
、抗告費及執行費等收入。
"
3,61,1,2,0505610202,非訟事件費,"2,903 ","2,788 ","2,896 ",115 ,"本年度預算數係非訟事件聲請費
及法人登記費等收入。
"
3,61,1,3,0505610203,公證費,42 ,42 ,50 ,-,"本年度預算數係辦理公證應繳交
之公證費等收入。
"
3,61,2,,0505610300,使用規費收入,934 ,810 ,835 ,124 ,
